seller_id,mean_log_price,mean_review_score,last_order_timestamp,first_order_timestamp,mean_installments,median_freight,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_voucher,health_beauty,sports_leisure,housewares,auto,furniture_decor,computers_accessories,cool_stuff,NA_category,toys,baby,others
0015a82c2db000af6aaaf3ae2ecb0532,6.796823718274855,3.6666666666666665,2017-10-18,2017-09-26,7.333333333333333,21.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
001cca7ae9ae17fb1caed9dfb1094831,4.640622174936177,3.883817427385892,2018-07-12,2017-02-04,3.7219917012448134,36.85,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
001e6ad469a905060d959994f1b41e4f,5.521460917862246,1.0,2018-08-07,2018-08-07,3.0,17.94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
002100f778ceb8431b7a1020ff7ab48f,2.96170151450779,4.033898305084746,2018-04-12,2017-09-14,1.4406779661016949,15.1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
003554e2dce176b5555353e4f3555ac8,4.787491742782046,5.0,2017-12-15,2017-12-15,3.0,19.38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
004c9cd9d87a3c30c522c48c4fc07416,4.720750968553618,4.057142857142857,2018-05-03,2017-01-27,4.052380952380952,17.83,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
00720abe85ba0859807595bbf045a33b,3.2765406540774866,3.6538461538461537,2018-08-03,2018-01-27,2.0,10.93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
00ab3eff1b5192e5f1a63bcecfee11c8,4.584967478670572,5.0,2017-03-18,2017-03-18,2.0,12.08,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
00d8b143d12632bad99c0ad66ad52825,4.454347296253507,5.0,2018-03-21,2018-03-21,5.0,51.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
00ee68308b45bc5e2660cd833c3f81cc,4.650829574293095,4.296296296296297,2018-08-09,2017-09-19,3.386243386243386,13.91,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
00fc707aaaad2d31347cf883cd2dfe10,4.515923659904314,3.7202797202797204,2018-06-13,2018-01-31,2.104895104895105,15.34,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
010543a62bd80aa422851e79a3bc7540,6.56244409369372,4.5,2017-08-02,2017-07-04,6.5,15.975000000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
010da0602d7774602cd1b3f5fb7b709e,5.135210028677887,1.0,2018-06-06,2018-06-06,5.0,46.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
011b0eaba87386a2ae96a7d32bb531d1,3.911822985425479,4.0,2016-10-06,2016-10-06,1.0,14.59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01266d4c46afa519678d16a8b683d325,3.161924449205246,5.0,2018-08-20,2018-08-02,1.3333333333333333,15.26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
013900e863eace745d3ec7614cab5b1a,4.101001474983502,4.7407407407407405,2018-04-13,2017-03-04,3.4814814814814814,16.16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
014c0679dd340a0e338872e7ec85666a,5.8809341698371895,3.625,2018-07-04,2017-01-26,6.3125,28.68,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
014d9a685fd57276679edd00e07089e5,4.075395963596224,3.8333333333333335,2018-08-17,2017-11-21,4.583333333333333,13.47,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
0176f73cc1195f367f7b32db1e5b3aa8,4.741683026122272,4.05,2018-08-13,2017-11-16,3.875,26.87,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
01bcc9d254a0143f0ce9791b960b2a47,4.895659782403249,4.076923076923077,2018-02-02,2017-08-12,1.8461538461538463,26.1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
01c97ebb5cdac52891c0ed1c37ba0012,3.691946078820662,4.083333333333333,2018-07-31,2017-04-13,1.75,13.395,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
01cf7e3d21494c41fb86034f2e714fa1,4.769226834323396,4.304347826086956,2018-02-26,2016-10-06,2.652173913043478,18.0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1
01ed254b9ff8407dfb9d99ba1e17d923,5.587628485066307,5.0,2017-11-08,2017-08-04,4.8,13.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01fd077212124329bac32490e8ef80d9,3.3527543091456153,4.3,2018-08-24,2018-04-16,1.1,12.93,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
01fdefa7697d26ad920e9e0346d4bd1b,4.589826275931564,4.362962962962963,2018-08-20,2017-04-26,2.9851851851851854,17.98,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0241d4d5d36f10f80c644447315af0bd,4.6647069393692515,4.30188679245283,2018-08-28,2017-10-08,3.720754716981132,23.28,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
0249d282d911d23cb8b869ab49c99f53,3.439254319817707,4.2727272727272725,2018-03-22,2017-09-18,1.8181818181818181,12.69,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
024b564ae893ce8e9bfa02c10a401ece,4.462398557500418,4.75,2017-02-12,2016-10-05,3.25,26.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
028872bfa080090a9d0abd4f1af168f8,3.1570004211501135,5.0,2017-08-19,2017-08-19,1.0,15.79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
02a2272692e13558373c66db98f05e2e,3.3096698688038892,3.0,2017-03-08,2017-02-06,4.0,19.435000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
02b72cdeb9cfcc429f1af6f4e3f3b737,4.872392742146237,4.75,2018-08-22,2018-07-25,2.5,56.120000000000005,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
02c988090b766852e088c69d7fb3b551,3.95726270780828,4.2105263157894735,2018-08-15,2017-07-16,2.1578947368421053,12.22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
02d35243ea2e497335cd0f076b45675d,5.681572321567214,2.6875,2018-08-02,2017-04-29,4.25,34.73,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
02dcd3e8e25bee036e32512bcf175493,4.443903381440883,3.3157894736842106,2018-08-22,2017-10-28,1.368421052631579,16.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
02ecc2a19303f05e59ce133fd923fff7,5.35887536806603,4.56,2018-08-21,2017-06-18,5.88,17.93,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
02f5837340d7eb4f653d676c7256523a,4.861509905587971,4.833333333333333,2018-08-08,2017-11-01,3.3333333333333335,17.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
02f623a8eb246f3c5f7c2f96462654e6,4.924733792594552,4.555555555555555,2018-08-22,2018-04-25,2.1555555555555554,15.29,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0307f7565ff85b299b6e5ef162b1b1a9,5.044934953093924,2.888888888888889,2017-05-25,2016-10-10,4.222222222222222,39.5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0336182e1b3e92f029d5354832045fdf,2.7013612129514133,2.0,2016-10-05,2016-10-05,3.0,8.785,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
034b9387752bfa309f350a70cd45ffa3,2.4849066497880004,4.444444444444445,2018-08-22,2018-04-11,1.0,18.23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
038b75b729c8a9a04b0d07cba7eabe86,5.453182077108952,3.5,2018-04-22,2018-04-20,6.0,45.425,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
039b29ff3b3473435d0cd59040575de9,2.5061928799282542,4.444444444444445,2018-08-23,2018-04-26,1.2222222222222223,7.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
039e6ad9dae79614493083e241147386,7.800434029640992,4.0,2018-07-10,2018-04-03,7.2,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
03a2a6dcbe45d639c4dc2a0d24769c40,4.698716307961246,4.111111111111111,2018-08-15,2018-03-13,3.0,19.32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
03bd479e1d9484cdb14104d3023f7321,4.786658062033468,4.333333333333333,2018-07-24,2018-05-09,1.6666666666666667,20.99,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0417b067eeab773d2f7061a726dc477f,4.68540189880599,4.0,2018-08-20,2018-03-01,2.7857142857142856,42.77,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
042573af89b6d931f672efaf789d8358,4.623920907925166,4.0,2018-02-11,2018-01-21,1.0,16.83,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
04308b1ee57b6625f47df1d56f00eedf,6.380056901081834,3.882978723404255,2018-08-12,2017-11-14,5.5212765957446805,25.33,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0432ead42b6c8a0bdf68154add917fdf,4.376128434961699,4.505263157894737,2018-07-27,2017-04-02,2.968421052631579,13.6,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
044668ccd5316b12a7cf0d54a156e3e9,3.5442926012194094,5.0,2018-08-20,2018-08-08,1.0,18.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
04843805947f0fc584fc1969b6e50fe7,6.551080335043404,5.0,2018-08-05,2018-08-05,8.0,37.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
048c2757535328e0d7dac690ad3c0aae,5.16090116294633,4.150943396226415,2018-08-21,2017-03-04,3.830188679245283,20.64,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
04aa0a1c5ce6b222003403a3e11c3cc0,5.715139713562135,3.5294117647058822,2018-01-24,2017-03-22,5.235294117647059,47.89,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
04aba03279157f6d4e0fe8ccaf21963c,5.028649144979888,4.3125,2018-08-26,2017-05-10,4.5625,16.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
04e38a233f726ef161074ab1c9b0399a,3.640925536350873,3.8275862068965516,2018-05-05,2017-09-15,1.7241379310344827,12.69,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
04ee0ec01589969663ba5967c0e0bdc0,5.668120754102115,5.0,2018-08-21,2018-08-21,5.0,24.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
04fdea0c111866e6cf812f1570d6b5bd,4.62832093909529,3.2,2018-01-31,2017-10-14,2.5,18.285,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0509040ea3fe50071181bbc359eb7738,3.4949937492840504,4.5,2018-08-02,2017-05-03,2.0686274509803924,14.1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
052577151711aec5c744fe12e66db3e1,6.532334292222349,2.25,2017-12-20,2017-10-26,5.5,42.65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
054694fa03fe82cec4b7551487331d74,5.98568333257848,3.3636363636363638,2018-04-09,2017-01-07,4.5,25.835,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
056b4ada5bbc2c50cc7842547dda6b51,5.113938498216503,4.075757575757576,2018-08-23,2017-12-01,5.045454545454546,17.244999999999997,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0570350b23eda5444f8d1d9544932058,4.035201210347593,5.0,2018-05-22,2018-04-12,4.909090909090909,7.39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
05730013efda596306417c3b09302475,5.472270673671475,5.0,2018-08-22,2018-07-06,2.25,52.65,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
058cb5aeb36d7c0fcae20fc85d5e0a59,4.559091142450379,3.3846153846153846,2018-08-14,2017-09-25,3.8461538461538463,47.36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
058fd0aa2bfdb2274e05e1ae971dabb6,4.765209742721741,4.348484848484849,2018-06-07,2017-08-03,3.4242424242424243,14.45,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
05a48cc8859962767935ab9087417fbb,3.758871825933971,5.0,2018-08-02,2018-08-02,1.0,16.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
05a940b4ecae36cadfd8e93bd9c43257,4.135603225576874,3.9,2018-02-19,2017-07-16,2.0,18.335,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
05aebce0b5c8f0d41b29b686f2d05fd3,3.6219708802467663,5.0,2018-08-10,2018-03-05,1.0,22.945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
05ca864204d09595ae591b93ea9cf93d,5.192401140956488,5.0,2018-08-16,2018-08-16,1.0,8.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
05d2173d43ea568aa0540eba70d2ca76,4.132807187956472,3.925373134328358,2018-08-12,2017-09-27,2.074626865671642,18.25,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
05e107217c7266362fd44b75b2cd4cc4,2.8804819412692724,4.125,2018-08-21,2018-06-29,1.75,7.39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
05f51e13da97139648b8125c31e5f51b,5.103765946134942,4.095238095238095,2018-03-23,2017-07-10,3.6507936507936507,21.96,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
05feb94f19d094d4b0f9281f0b1d4c99,7.355242528292714,4.571428571428571,2018-02-18,2017-08-14,6.571428571428571,116.7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
05ff92fedb5be47920fea08e501238b9,5.652095335414697,4.136363636363637,2018-08-07,2016-10-04,3.712121212121212,23.775,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1
062c325cd6a2b87845fab56b4ec2eeae,4.095936359047279,5.0,2018-08-01,2018-05-07,1.5,11.93,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
062ce95fa2ad4dfaedfc79260130565f,4.493525933834736,4.0,2017-09-10,2017-01-26,3.1774193548387095,17.78,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1
06532f10282704ef4c69168b914b77be,6.123248553025143,1.7837837837837838,2017-08-18,2017-03-03,2.135135135135135,65.44,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
06579cb253ecd5a3a12a9e6eb6bf8f47,4.133311426240847,3.7260273972602738,2018-08-11,2017-08-03,2.9315068493150687,17.67,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
066a6914e1ebf3ea95a216c73a986b91,4.399513670257559,3.960526315789474,2018-08-10,2016-10-06,2.776315789473684,18.97,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
0691148aee60ca47977c187804f935ae,4.281636245397956,4.068965517241379,2018-08-27,2017-11-24,2.9655172413793105,19.4,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1
0692610d8abe24f287e9fae90ea0bbee,3.620761694329578,4.0,2018-08-22,2018-06-02,1.0,7.595000000000001,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,4.439944014407239,3.946341463414634,2018-08-22,2018-01-19,2.9390243902439024,27.51,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
06bb3a2fe5e7b7a845b13e8fb91bd944,4.399604196043382,4.631578947368421,2018-07-04,2017-09-11,2.3684210526315788,16.47,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
06df0c10d34e459d9672bc77388742eb,5.710752129978136,4.366666666666666,2018-08-06,2018-03-16,3.933333333333333,15.43,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
06e5eefc71ec47ae763c5c6f8db7064f,5.3589171171028465,3.83,2018-08-22,2017-04-25,3.17,18.490000000000002,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
07017df32dc5f2f1d2801e579548d620,4.572886182091276,4.111111111111111,2018-07-29,2017-03-08,3.4444444444444446,21.42,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
070d165398b553f3b4b851c216b8a358,4.459386633382892,3.652173913043478,2018-08-16,2017-08-24,2.3043478260869565,19.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0725b8c0f3f906e58f70cbe76b7c748c,3.675587282495753,3.5121951219512195,2018-08-07,2017-01-20,3.4146341463414633,16.9,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
0743a0239d764b9a0f959a57d07e36ab,4.294593722842052,4.8,2018-08-04,2018-07-24,2.0,15.44,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
0747d5bb69f0586cc869d8af4c50f93e,2.923117035232994,3.466666666666667,2017-06-25,2016-10-06,2.466666666666667,14.52,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
